Iteration,Avg Throughput
999,0.608
1000,0.638
2000,0.6455
3000,0.7176666666666667
4000,0.77075
5000,0.8022
1000,0.472
2000,0.4585
3000,0.4793333333333333
4000,0.50675
1000,0.447
2000,0.4335
3000,0.478
4000,0.48525
5000,0.513
6000,0.5238333333333334
7000,0.539
8000,0.555375
9000,0.569
10000,0.5812
11000,0.5891818181818181
12000,0.5920833333333333
13000,0.6002307692307692
14000,0.6056428571428571
15000,0.6152
16000,0.6229375
17000,0.6352941176470588
18000,0.6438888888888888
19000,0.6495263157894737
20000,0.6583
21000,0.6652857142857143
22000,0.6695454545454546
23000,0.6727826086956522
24000,0.6767916666666667
25000,0.68144
26000,0.6857692307692308
27000,0.6891481481481482
28000,0.6925714285714286
29000,0.6977241379310345
30000,0.6992333333333334
31000,0.7024516129032258
32000,0.70409375
33000,0.7073636363636364
34000,0.7105294117647059
35000,0.7134571428571429
36000,0.7154444444444444
37000,0.717
38000,0.7186315789473684
39000,0.7207179487179487
40000,0.722175
41000,0.7246585365853658
42000,0.7276190476190476
43000,0.7287906976744186
44000,0.7312954545454545
45000,0.7319777777777777
46000,0.7319130434782609
47000,0.7328297872340426
48000,0.735
49000,0.737
50000,0.7377
