Iteration,Avg Throughput
1000,0.662
2000,0.7305
3000,0.771
4000,0.81775
5000,0.8616
6000,0.8905
7000,0.928
8000,0.9725
9000,1.003777777777778
10000,1.0356
11000,1.0665454545454545
12000,1.08275
13000,1.106153846153846
14000,1.1251428571428572
15000,1.1454666666666666
16000,1.165625
17000,1.1832352941176472
18000,1.1993333333333334
19000,1.2167368421052631
20000,1.23195
21000,1.2464285714285714
22000,1.2611363636363635
23000,1.2732608695652174
24000,1.285625
25000,1.29612
26000,1.3077307692307691
27000,1.3157037037037036
28000,1.3261785714285714
29000,1.3334137931034482
30000,1.3423
31000,1.3501935483870968
32000,1.35540625
33000,1.3635757575757577
34000,1.371264705882353
35000,1.3782
36000,1.383
37000,1.3881351351351352
38000,1.392736842105263
39000,1.3972820512820512
40000,1.401225
